"sampleID" "TMB_tumor" "TMB_paired"
"358" "TCGA-93-A4JN-01A-11D-A24P-08" 58 64
"359" "TCGA-93-A4JO-01A-21D-A24P-08" 67 76
"360" "TCGA-93-A4JQ-01A-11D-A24P-08" 128 130
"361" "TCGA-95-7039-01A-11D-1945-08" 791 1020
"362" "TCGA-95-7043-01A-11D-1945-08" 275 666
"363" "TCGA-95-7562-01A-11D-2238-08" 231 296
"364" "TCGA-95-7567-01A-11D-2063-08" 615 755
"365" "TCGA-95-7944-01A-11D-2184-08" 190 206
"366" "TCGA-95-7947-01A-11D-2184-08" 393 466
"367" "TCGA-95-7948-01A-11D-2184-08" 148 133
"368" "TCGA-95-8039-01A-11D-2238-08" 86 80
"369" "TCGA-95-8494-01A-11D-2323-08" 92 94
"370" "TCGA-95-A4VK-01A-11D-A25L-08" 222 245
"371" "TCGA-95-A4VN-01A-11D-A25L-08" 373 449
"372" "TCGA-95-A4VP-01A-21D-A25L-08" 103 126
"373" "TCGA-97-7546-01A-11D-2036-08" 161 213
"374" "TCGA-97-7547-01A-11D-2036-08" 123 143
"375" "TCGA-97-7552-01A-11D-2036-08" 36 37
"376" "TCGA-97-7553-01A-21D-2036-08" 87 82
"377" "TCGA-97-7554-01A-11D-2036-08" 333 364
"378" "TCGA-97-7937-01A-11D-2167-08" 266 363
"379" "TCGA-97-7938-01A-11D-2167-08" 285 320
"380" "TCGA-97-7941-01A-11D-2184-08" 78 80
"381" "TCGA-97-8171-01A-11D-2284-08" 70 56
"382" "TCGA-97-8172-01A-11D-2284-08" 186 227
"383" "TCGA-97-8174-01A-11D-2284-08" 153 153
"384" "TCGA-97-8175-01A-11D-2284-08" 43 32
"385" "TCGA-97-8176-01A-11D-2393-08" 127 141
"386" "TCGA-97-8177-01A-11D-2284-08" 37 35
"387" "TCGA-97-8179-01A-11D-2284-08" 122 137
"388" "TCGA-97-8547-01A-11D-2393-08" 57 44
"389" "TCGA-97-8552-01A-11D-2393-08" 32 18
"390" "TCGA-97-A4LX-01A-11D-A24P-08" 162 167
"391" "TCGA-97-A4M0-01A-11D-A24P-08" 208 269
"392" "TCGA-97-A4M1-01A-11D-A24P-08" 43 39
"393" "TCGA-97-A4M2-01A-12D-A24P-08" 33 33
"394" "TCGA-97-A4M3-01A-11D-A24P-08" 165 191
"395" "TCGA-97-A4M5-01A-11D-A24P-08" 133 148
"396" "TCGA-97-A4M6-01A-11D-A24P-08" 33 32
"397" "TCGA-97-A4M7-01A-11D-A24P-08" 239 264
"398" "TCGA-99-7458-01A-11D-2036-08" 373 367
"399" "TCGA-99-8025-01A-11D-2238-08" 359 400
"400" "TCGA-99-8028-01A-11D-2238-08" 425 426
"401" "TCGA-99-8032-01A-11D-2238-08" 283 334
"402" "TCGA-99-8033-01A-11D-2238-08" 137 148
"403" "TCGA-99-AA5R-01A-11D-A397-08" 54 46
"404" "TCGA-J2-8192-01A-11D-2238-08" 71 66
"405" "TCGA-J2-8194-01A-11D-2238-08" 117 134
"406" "TCGA-J2-A4AD-01A-11D-A24D-08" 232 259
"407" "TCGA-J2-A4AE-01A-21D-A24D-08" 60 47
"408" "TCGA-J2-A4AG-01A-11D-A24D-08" 75 81
"409" "TCGA-L4-A4E5-01A-11D-A24P-08" 230 245
"410" "TCGA-L9-A443-01A-12D-A24D-08" 164 205
"411" "TCGA-L9-A444-01A-21D-A24D-08" 325 475
"412" "TCGA-L9-A50W-01A-12D-A397-08" 56 27
"413" "TCGA-L9-A5IP-01A-21D-A397-08" 181 226
"414" "TCGA-L9-A743-01A-43D-A397-08" 94 98
"415" "TCGA-L9-A7SV-01A-11D-A397-08" 847 1292
"416" "TCGA-L9-A8F4-01A-11D-A397-08" 490 572
"417" "TCGA-MN-A4N1-01A-11D-A24P-08" 330 385
"418" "TCGA-MN-A4N4-01A-12D-A24P-08" 1085 1328
"419" "TCGA-MN-A4N5-01A-11D-A24P-08" 323 381
"420" "TCGA-MP-A4SV-01A-11D-A24P-08" 282 314
"421" "TCGA-MP-A4SW-01A-21D-A24P-08" 52 58
"422" "TCGA-MP-A4SY-01A-21D-A24P-08" 137 150
"423" "TCGA-MP-A4T2-01A-11D-A24P-08" 73 80
"424" "TCGA-MP-A4T7-01A-11D-A24P-08" 111 140
"425" "TCGA-MP-A4T8-01A-11D-A24P-08" 98 97
"426" "TCGA-MP-A4T9-01A-11D-A24P-08" 34 40
"427" "TCGA-MP-A4TA-01A-21D-A24P-08" 285 330
"428" "TCGA-MP-A4TC-01A-11D-A24P-08" 196 231
"429" "TCGA-MP-A4TE-01A-22D-A25L-08" 110 111
"430" "TCGA-MP-A4TF-01A-11D-A25L-08" 269 362
"431" "TCGA-MP-A4TH-01A-31D-A25L-08" 81 87
"432" "TCGA-MP-A4TI-01A-21D-A24P-08" 244 289
"433" "TCGA-MP-A4TK-01A-11D-A24P-08" 298 307
"434" "TCGA-MP-A5C7-01A-11D-A25L-08" 57 87
"435" "TCGA-NJ-A4YF-01A-12D-A25L-08" 420 528
"436" "TCGA-NJ-A4YG-01A-22D-A25L-08" 138 154
"437" "TCGA-NJ-A4YI-01A-11D-A25L-08" 301 375
"438" "TCGA-NJ-A4YP-01A-11D-A25L-08" 482 507
"439" "TCGA-NJ-A4YQ-01A-11D-A25L-08" 926 961
"440" "TCGA-NJ-A55A-01A-11D-A25L-08" 105 100
"441" "TCGA-NJ-A55R-01A-11D-A25L-08" 240 279
"442" "TCGA-NJ-A7XG-01A-12D-A397-08" 36 29
"443" "TCGA-O1-A52J-01A-11D-A25L-08" 110 137
"444" "TCGA-S2-AA1A-01A-12D-A397-08" 108 98
