"","Sampleid","Purity","Ploidy","Num.Variants","Median.Coverage","AUC.AR","AUC.POSTERIOR.SOMATIC","Callrate","Accuracy.Somatic","Accuracy.Germline","TMB.AR"
"55","TCGA-05-5715-01",0.71,1.84377730595484,166,62.5,0.78530658838878,0.916666666666667,0.734939759036145,0.965217391304348,0.947826086956522,3.91092651537959
"56","TCGA-35-5375-01",0.54,4.67954060668788,428,59.5,0.673625848896435,0.809688030560272,0.586448598130841,0.860557768924303,0.964143426294821,10.1813933036665
"57","TCGA-38-4625-01",0.37,2.93001117828905,610,107,0.828967842323652,0.906590378630705,0.845901639344262,0.951550387596899,0.965116279069767,17.9992801772406
"58","TCGA-38-4626-01",0.15,1.78064522085144,322,117,0.888976280167239,0.879455230368009,0.996894409937888,1,0.919003115264797,9.62314221735003
"59","TCGA-38-4627-01",0.18,1.92798203079463,148,101,0.968316460442445,0.980502437195351,0.986486486486487,1,0.965753424657534,1.79165293532659
"60","TCGA-38-7271-01",0.2,2.07296756427677,295,74,0.827076609478512,0.763759130287073,1,1,0.60536398467433,8.44563222649906
"61","TCGA-38-A44F-01",0.15,1.89032985960684,132,80,0.967519181585678,0.972890025575448,1,1,0.96969696969697,1.46920667882296
"62","TCGA-44-6779-01",0.47,1.60337814865396,201,71,0.828561612459918,0.888799816765918,0.721393034825871,0.970802919708029,0.948905109489051,4.22099778324708
"63","TCGA-44-8117-01",0.65,2.87925648796039,766,96,0.712378071833648,0.89737618147448,0.765013054830287,0.896749521988528,0.977055449330784,18.4018521390571
"64","TCGA-44-8119-01",0.56,4.56520171091335,604,75,0.653521005509642,0.854545454545454,0.597682119205298,0.900277008310249,0.980609418282548,13.9130407897506
"65","TCGA-44-8120-01",0.51,1.72364050874402,706,81.5,0.868732811508356,0.910373034341725,0.747875354107649,0.988483685220729,0.971209213051823,19.3592390289719
"66","TCGA-44-A479-01",0.18,2.22525843642844,350,73,0.974959349593496,0.980234869015357,0.928571428571429,0.978328173374613,0.987616099071207,10.0636071275123
"67","TCGA-44-A47A-01",0.29,1.65182918743489,277,69,0.934983766233766,0.923214285714286,0.938628158844765,0.873076923076923,0.961538461538462,7.9396592379272
"68","TCGA-44-A47B-01",0.49,3.26321960723896,151,69,0.889447884416925,0.916150670794634,0.682119205298013,0.99009900990099,0.940594059405941,2.42956715696293
"69","TCGA-44-A47F-01",0.4,3.93421976605968,227,76,0.928343949044586,0.959872611464968,0.814977973568282,0.994594594594595,0.945945945945946,4.40511028033401
"70","TCGA-44-A47G-01",0.15,2.22442034696771,211,65,0.992253521126761,0.993896713615024,0.966824644549763,1,0.994871794871795,3.85691354188328
"71","TCGA-44-A4SS-01",0.18,2.02139335405035,550,95,0.977846198691905,0.980442347282698,0.978181818181818,0.983271375464684,0.990706319702602,16.9307186024869
"72","TCGA-44-A4SU-01",0.42,2.25352035000785,363,88,0.906048387096774,0.937939882697947,0.848484848484849,0.975862068965517,0.917241379310345,7.56891205464829
"73","TCGA-49-4487-01",0.19,1.88131359188366,456,81,0.961562680379913,0.9618906438579,0.980263157894737,0.993055555555556,0.986111111111111,13.9723551020839
"74","TCGA-49-4490-01",0.27,4.4006874636079,182,90,0.920732634138927,0.936236510107919,0.741758241758242,0.992537313432836,0.940298507462687,3.75221236570934
"75","TCGA-49-4512-01",0.43,2.28970701776082,159,83,0.977513227513228,0.956950456950457,0.773584905660377,0.983739837398374,0.975609756097561,2.81239990076669
"76","TCGA-49-4514-01",0.34,1.7854591879331,396,86,0.945182197897163,0.951389889096932,0.962121212121212,0.992125984251969,0.979002624671916,11.0591459940653
"77","TCGA-49-6742-01",0.43,3.62594886422682,363,85,0.901400152491856,0.93189852360158,0.823691460055096,0.965753424657534,0.979452054794521,9.48813649723528
"78","TCGA-49-6743-01",0.27,2.88221798973924,843,79,0.918044730599797,0.913362701908957,0.935943060498221,0.989487516425756,0.973718791064389,29.0424738842698
"79","TCGA-49-6744-01",0.28,2.21433416860014,425,82,0.988293125429048,0.981195449642052,0.981176470588235,1,0.982323232323232,9.80288832759407
"80","TCGA-49-6745-01",0.2,1.89584364702773,331,80,0.9930652703945,0.990806986690115,0.960725075528701,0.987138263665595,0.990353697749196,6.25864665224801
"81","TCGA-49-6761-01",0.31,3.02724519432702,507,76,0.990804597701149,0.991201671891327,0.915187376725838,0.997690531177829,0.993071593533487,15.5020406322578
"82","TCGA-49-6767-01",0.37,3.42708136115861,479,80,0.792765567765568,0.908006279434851,0.741127348643006,0.92507204610951,0.979827089337176,13.3364184655506
"83","TCGA-49-AAQV-01",0.28,1.97623784816852,242,61,0.983412813601493,0.984501347708895,0.975206611570248,1,0.973913043478261,3.83541061620441
"84","TCGA-49-AAR0-01",0.35,1.66914100825051,297,68,0.957242833860608,0.960358546639824,0.888888888888889,0.981060606060606,0.962121212121212,6.81491918920635
"85","TCGA-49-AAR2-01",0.66,1.89935940405333,468,66,0.864914250714577,0.937995100040833,0.846153846153846,0.934343434343434,0.984848484848485,12.2809094143356
"86","TCGA-49-AAR3-01",0.16,1.76084833623497,213,67,0.996371681415929,0.994601769911504,0.985915492957746,1,0.990476190476191,4.97888463189718
"87","TCGA-49-AAR4-01",0.16,1.92005877003036,620,61,0.960876401421931,0.964335520918786,0.987096774193548,0.996726677577741,0.983633387888707,21.6788153606958
"88","TCGA-49-AAR9-01",0.73,2.10181613465247,639,61,0.648680351906158,0.871914156225007,0.672926447574335,0.902325581395349,0.981395348837209,15.8248292412542
"89","TCGA-49-AARE-01",0.42,2.8769604271754,1249,60,0.746905538628281,0.72456871337159,0.77662129703763,0.953463203463203,0.863636363636364,41.4255927311893
"90","TCGA-49-AARN-01",0.33,1.93277835267971,876,68,0.991593392443251,0.990305728266068,0.963470319634703,0.98792270531401,0.991545893719807,31.0865504885625
"91","TCGA-49-AARO-01",0.24,2.15776988418613,550,55,0.950898254576415,0.957735206470839,0.9,0.941414141414141,0.991919191919192,19.2991722759644
"92","TCGA-49-AARQ-01",0.49,3.40645760048498,615,55,0.751707833661476,0.863641787482847,0.678048780487805,0.899262899262899,0.972972972972973,17.323467802087
"93","TCGA-4B-A93V-01",0.6,2.68426392889024,277,59,0.676116838487973,0.89329304419955,0.696750902527076,0.963541666666667,0.953125,5.06986313296927
"94","TCGA-50-5044-01",0.23,2.03535237761768,345,78,0.98987052551409,0.987661843107388,0.991304347826087,1,0.987841945288754,6.34945673321446
"95","TCGA-50-5045-01",0.16,2.18462462555532,368,65.5,0.992166974798093,0.992507541111219,0.951086956521739,0.982857142857143,0.991428571428571,11.1525537201679
"96","TCGA-50-5049-01",0.17,2.10774248921789,711,68,0.947543581616482,0.947593106180666,0.970464135021097,0.976811594202899,0.991304347826087,28.4300003259684
"97","TCGA-50-5051-01",0.54,3.07942624446598,207,89,0.844765723934149,0.901857323765302,0.714975845410628,0.963235294117647,0.955882352941177,4.08988898014786
"98","TCGA-50-5055-01",0.3,2.08959712032493,126,72,0.992523364485981,0.988473520249221,0.992063492063492,1,0.983471074380165,1.20120889663357
"99","TCGA-50-5068-01",0.24,1.68913939062505,161,67,0.973684210526316,0.981020733652313,0.950310559006211,0.980392156862745,0.986928104575163,3.60793970676574
"100","TCGA-50-5072-01",0.3,2.29229556653539,266,81,0.927845528455285,0.948230511716882,0.928571428571429,0.916666666666667,0.975,5.64759780368686
"101","TCGA-50-5936-01",0.39,3.28053103277249,208,65.5,0.850911150977245,0.931073553016712,0.798076923076923,0.969879518072289,0.963855421686747,4.81739535029264
"102","TCGA-50-5939-01",0.3,1.78237947036812,162,71,0.983208020050125,0.983792815371763,0.962962962962963,1,0.980769230769231,3.15514643823406
"103","TCGA-50-6590-01",0.2,2.29761959922361,866,76,0.920158035703465,0.932253099511592,0.884526558891455,0.87467362924282,0.989556135770235,30.4015184816028
"104","TCGA-50-6595-01",0.15,1.84747146555214,176,81.5,0.983499931534986,0.982609886348076,0.977272727272727,0.982558139534884,0.988372093023256,3.49110377582985
"105","TCGA-50-6597-01",0.47,3.66770843990996,231,77,0.896834935897436,0.950320512820513,0.727272727272727,0.988095238095238,0.93452380952381,3.80766479877862
"106","TCGA-50-6673-01",0.4,2.15020164081685,273,74,0.983783783783784,0.98034398034398,0.941391941391941,0.992217898832685,0.972762645914397,4.94724643741689
"107","TCGA-50-7109-01",0.46,2.9412919193166,329,69,0.885406845665095,0.937938102070096,0.756838905775076,0.963414634146341,0.983739837398374,9.09557946061778
"108","TCGA-50-8457-01",0.16,2.12903661202906,177,71,0.969587053571429,0.943452380952381,0.943502824858757,0.95,0.9875,2.89347337588069
"109","TCGA-50-8459-01",0.3,1.91887751227132,267,79,0.973258513931889,0.971749226006192,0.970037453183521,1,0.976,4.06427349462569
"110","TCGA-50-8460-01",0.4,1.92709732478285,164,77.5,0.983348751156337,0.982732038236201,0.951219512195122,1,0.974358974358974,2.00313282269112
"111","TCGA-53-7624-01",0.62,2.99200587741676,805,77,0.55995756888614,0.711940836940837,0.663354037267081,0.818352059925094,0.917602996254682,16.4476517625218
"112","TCGA-53-7626-01",0.28,1.78633314257284,762,75,0.859566213807462,0.860127918994623,0.982939632545932,0.98931909212283,0.97196261682243,29.8481257885791
"113","TCGA-53-7813-01",0.37,3.44199649204523,217,66,0.91734693877551,0.941666666666667,0.811059907834101,1,0.965909090909091,5.05820940328186
"114","TCGA-53-A4EZ-01",0.33,4.46466138907092,598,91,0.794929558745348,0.905622009569378,0.774247491638796,0.911447084233261,0.976241900647948,14.765764884058
"115","TCGA-55-5899-01",0.66,2.86948523651351,469,72,0.682946924144311,0.890437095282146,0.688699360341151,0.89622641509434,0.984276729559748,11.8855927037766
"116","TCGA-55-6642-01",0.31,2.76451066461943,259,84,0.927930402930403,0.930128205128205,0.841698841698842,0.976744186046512,0.934883720930233,6.58607306718154
"117","TCGA-55-6712-01",0.23,2.33532153095646,236,77.5,0.981641229816412,0.976922509769225,0.970338983050847,0.982532751091703,0.986899563318777,6.22314580490109
"118","TCGA-55-6968-01",0.55,1.72306490365737,555,73,0.842681606926848,0.907663249931029,0.8,0.934272300469484,0.974178403755869,17.2039791773184
"119","TCGA-55-6969-01",0.17,1.98543752199552,489,79,0.808527131782946,0.814437984496124,0.952965235173824,0.954935622317597,0.935622317596567,15.8701564185841
"120","TCGA-55-6970-01",0.36,2.7317589687607,226,75.5,0.712688323917137,0.869114877589454,0.628318584070796,0.943661971830986,0.943661971830986,5.81424876767768
"121","TCGA-55-6971-01",0.15,2.73654827743725,387,78,0.919303135888502,0.913710801393728,0.992248062015504,0.989583333333333,0.971354166666667,12.2755111065881
"122","TCGA-55-6972-01",0.73,3.478965223099,325,69,0.802262156448203,0.818942917547569,0.655384615384615,0.868544600938967,0.948356807511737,7.2128973696981
"123","TCGA-55-6975-01",0.33,1.76907193901545,173,67,0.967067200712061,0.964842011570983,0.930635838150289,0.962025316455696,0.974683544303797,3.41031766129039
"124","TCGA-55-6978-01",0.21,2.26601621601937,189,78,0.969729344729345,0.964862298195632,0.989417989417989,1,0.957219251336898,3.6503110403695
"125","TCGA-55-6979-01",0.23,1.83422592438631,676,87,0.687265512265512,0.68507215007215,0.992603550295858,0.998509687034277,0.906110283159464,25.2415024964168
"126","TCGA-55-6980-01",0.24,2.24448382854862,161,66,0.979065040650407,0.976422764227642,0.981366459627329,1,0.962025316455696,2.52901081653975
"127","TCGA-55-6981-01",0.21,2.5800259730702,406,78,0.74468085106383,0.75131807841563,0.985221674876847,1,0.875,12.8692324824529
"128","TCGA-55-6982-01",0.23,1.77883465046295,353,80,0.972530864197531,0.972781635802469,0.985835694050991,0.993957703927492,0.981873111782477,9.76385564249608
"129","TCGA-55-6983-01",0.29,2.28856445594519,245,77,0.982411535246587,0.983282251323488,0.963265306122449,1,0.983050847457627,4.5871045863286
"130","TCGA-55-6984-01",0.41,2.05438760339525,119,52,0.976222826086957,0.979619565217391,0.957983193277311,0.982456140350877,0.982456140350877,1.70652793055815
"131","TCGA-55-6985-01",0.28,1.89450273640115,486,55,0.887400793650794,0.889880952380952,0.91358024691358,0.934684684684685,0.945945945945946,17.6194539810104
"132","TCGA-55-6986-01",0.2,1.55740720553936,100,53.5,0.961038961038961,0.958498023715415,0.99,0.97979797979798,0.95959595959596,1.56192062506814
"133","TCGA-55-6987-01",0.17,2.28659658291575,303,72,0.902931745304627,0.886028401282639,0.983498349834984,0.98993288590604,0.909395973154362,9.46253635508472
"134","TCGA-55-7284-01",0.37,2.27777764819129,148,83.5,0.971104231166151,0.975490196078431,0.952702702702703,1,0.971631205673759,1.87933185993716
"135","TCGA-55-7573-01",0.26,2.09109214642576,147,63,0.932692307692308,0.916429249762583,0.938775510204082,0.934782608695652,0.971014492753623,2.54928599355104
"136","TCGA-55-7724-01",0.2,1.822641229767,325,84,0.969990813514341,0.976472389506992,0.993846153846154,0.993288590604027,0.98993288590604,9.24641065418814
"137","TCGA-55-7725-01",0.6,2.01562857081689,230,56,0.882612085769981,0.922962962962963,0.821739130434783,0.984126984126984,0.941798941798942,5.22543768978649
"138","TCGA-55-7726-01",0.37,2.33475694280326,202,68,0.941490941490941,0.93970893970894,0.826732673267327,0.982035928143713,0.946107784431138,4.96020160758962
"139","TCGA-55-7727-01",0.36,2.04606228905826,310,64,0.887708851759687,0.891752577319588,0.851612903225806,0.893939393939394,0.946969696969697,9.66159987640053
"140","TCGA-55-7728-01",0.4,2.00457126448222,200,96,0.972158532590894,0.983841030680205,0.985,0.99492385786802,0.989847715736041,3.14790524292769
"141","TCGA-55-7815-01",0.29,3.45668520430215,325,77,0.969274442681807,0.967562828755114,0.892307692307692,0.982517482517482,0.961538461538462,6.4923071154764
"142","TCGA-55-7903-01",0.43,3.76115715473096,233,66,0.829111992676228,0.897467195605737,0.759656652360515,0.948275862068966,0.948275862068966,5.51392850304673
"143","TCGA-55-7907-01",0.41,3.60386106798547,1026,65,0.787300031014577,0.871329524876692,0.750487329434698,0.918181818181818,0.983116883116883,33.1989075932004
"144","TCGA-55-7910-01",0.59,3.54472102035071,400,62,0.762423021256066,0.873229843630275,0.6375,0.941666666666667,0.95,8.96873198355004
"145","TCGA-55-7911-01",0.2,2.10059087726527,309,64,0.95643573061368,0.960567962018639,0.915857605177994,0.939929328621908,0.985865724381625,8.58508771853122
"146","TCGA-55-7913-01",0.32,2.97994296215429,473,77,0.890840840840841,0.947550675675676,0.832980972515856,0.974619289340102,0.969543147208122,12.4602070789421
"147","TCGA-55-7914-01",0.51,1.91605150038425,268,81,0.933208042479566,0.970288168963666,0.83955223880597,0.986363636363636,0.986363636363636,6.68469230248668
"148","TCGA-55-7994-01",0.52,3.00649479189822,1386,84,0.742057632769707,0.875745925900725,0.697691197691198,0.929025423728814,0.991525423728814,33.2275842828094
"149","TCGA-55-7995-01",0.43,2.65398301075106,617,84,0.717442753957277,0.842646380820655,0.73581847649919,0.876651982378855,0.955947136563877,15.8608694928656
