"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"291","TCGA-78-7539-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"293","TCGA-78-7542-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"294","TCGA-78-7633-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"295","TCGA-78-8640-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"296","TCGA-78-8655-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"298","TCGA-78-8662-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"299","TCGA-80-5607-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,5,1,FALSE,5,1,FALSE
"300","TCGA-80-5608-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"301","TCGA-80-5611-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"303","TCGA-86-6562-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"304","TCGA-86-6851-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"305","TCGA-86-7701-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"307","TCGA-86-7953-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"308","TCGA-86-7954-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"309","TCGA-86-7955-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"310","TCGA-86-8054-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"311","TCGA-86-8055-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"312","TCGA-86-8056-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"314","TCGA-86-8074-01",5,0,TRUE,5,0,TRUE,5,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"315","TCGA-86-8075-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"318","TCGA-86-8279-01",7,1,FALSE,7,1,FALSE,7,1,FALSE,6,1,FALSE,6,1,FALSE,6,1,FALSE
"319","TCGA-86-8280-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"320","TCGA-86-8281-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"321","TCGA-86-8358-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,7,0,TRUE,7,0,TRUE,7,0,TRUE
"322","TCGA-86-8359-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"323","TCGA-86-8585-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"324","TCGA-86-8668-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"325","TCGA-86-8669-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"327","TCGA-86-8672-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,5,1,FALSE,5,1,FALSE
"328","TCGA-86-8673-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"329","TCGA-86-8674-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"332","TCGA-86-A4JF-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"335","TCGA-91-6829-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"337","TCGA-91-6831-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"339","TCGA-91-6836-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"340","TCGA-91-6840-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"341","TCGA-91-6847-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
