"","SampleId","HLAA_LOH","HLAB_LOH","HLAC_LOH","TP53_LOH"
"147","TCGA-55-7815-01",FALSE,FALSE,FALSE,FALSE
"148","TCGA-55-7903-01",NA,NA,NA,TRUE
"149","TCGA-55-7907-01",FALSE,FALSE,FALSE,TRUE
"150","TCGA-55-7910-01",TRUE,TRUE,TRUE,TRUE
"151","TCGA-55-7911-01",FALSE,FALSE,FALSE,TRUE
"152","TCGA-55-7913-01",FALSE,FALSE,FALSE,FALSE
"153","TCGA-55-7914-01",FALSE,FALSE,FALSE,TRUE
"154","TCGA-55-7994-01",FALSE,FALSE,FALSE,TRUE
"155","TCGA-55-7995-01",FALSE,FALSE,FALSE,TRUE
"156","TCGA-55-8085-01",TRUE,FALSE,FALSE,TRUE
"157","TCGA-55-8087-01",NA,NA,NA,NA
"158","TCGA-55-8089-01",TRUE,TRUE,TRUE,TRUE
"159","TCGA-55-8090-01",FALSE,FALSE,FALSE,FALSE
"160","TCGA-55-8091-01",TRUE,TRUE,TRUE,TRUE
"161","TCGA-55-8092-01",TRUE,TRUE,TRUE,TRUE
"162","TCGA-55-8094-01",FALSE,FALSE,FALSE,TRUE
"163","TCGA-55-8096-01",TRUE,TRUE,TRUE,TRUE
"164","TCGA-55-8097-01",NA,NA,NA,TRUE
"165","TCGA-55-8203-01",FALSE,FALSE,FALSE,FALSE
"166","TCGA-55-8204-01",TRUE,TRUE,TRUE,TRUE
"167","TCGA-55-8205-01",TRUE,TRUE,TRUE,TRUE
"168","TCGA-55-8206-01",FALSE,FALSE,FALSE,FALSE
"169","TCGA-55-8207-01",FALSE,FALSE,FALSE,TRUE
"170","TCGA-55-8208-01",FALSE,FALSE,FALSE,NA
"171","TCGA-55-8301-01",TRUE,TRUE,TRUE,TRUE
"172","TCGA-55-8302-01",NA,NA,NA,TRUE
"173","TCGA-55-8505-01",TRUE,TRUE,TRUE,NA
"174","TCGA-55-8506-01",FALSE,FALSE,FALSE,TRUE
"175","TCGA-55-8507-01",FALSE,TRUE,TRUE,TRUE
"176","TCGA-55-8508-01",FALSE,FALSE,FALSE,FALSE
"177","TCGA-55-8510-01",TRUE,TRUE,TRUE,TRUE
"178","TCGA-55-8511-01",TRUE,TRUE,TRUE,TRUE
"179","TCGA-55-8512-01",FALSE,FALSE,FALSE,NA
"180","TCGA-55-8513-01",NA,NA,NA,NA
"181","TCGA-55-8514-01",FALSE,FALSE,FALSE,TRUE
"182","TCGA-55-8614-01",FALSE,FALSE,FALSE,TRUE
"183","TCGA-55-8615-01",FALSE,FALSE,FALSE,FALSE
"184","TCGA-55-8616-01",FALSE,FALSE,FALSE,TRUE
"185","TCGA-55-8619-01",NA,NA,NA,NA
"186","TCGA-55-8620-01",FALSE,FALSE,FALSE,TRUE
"187","TCGA-55-8621-01",NA,NA,NA,NA
"188","TCGA-55-A48X-01",NA,NA,NA,TRUE
"189","TCGA-55-A48Y-01",NA,NA,NA,TRUE
"190","TCGA-55-A48Z-01",FALSE,FALSE,FALSE,TRUE
"191","TCGA-55-A490-01",FALSE,FALSE,FALSE,TRUE
"192","TCGA-55-A491-01",FALSE,FALSE,FALSE,TRUE
"193","TCGA-55-A492-01",FALSE,FALSE,FALSE,FALSE
"194","TCGA-55-A493-01",TRUE,NA,TRUE,TRUE
"195","TCGA-55-A494-01",FALSE,FALSE,FALSE,FALSE
"196","TCGA-55-A4DF-01",TRUE,TRUE,TRUE,TRUE
"197","TCGA-55-A4DG-01",TRUE,TRUE,TRUE,TRUE
"198","TCGA-55-A57B-01",TRUE,TRUE,TRUE,TRUE
"199","TCGA-62-8394-01",FALSE,FALSE,FALSE,TRUE
"200","TCGA-62-8395-01",NA,NA,NA,NA
"201","TCGA-62-8397-01",FALSE,FALSE,FALSE,TRUE
"202","TCGA-62-8398-01",FALSE,FALSE,FALSE,FALSE
"203","TCGA-62-8399-01",FALSE,FALSE,FALSE,TRUE
"204","TCGA-62-8402-01",TRUE,TRUE,TRUE,TRUE
"205","TCGA-62-A46O-01",FALSE,FALSE,FALSE,TRUE
"206","TCGA-62-A46P-01",NA,NA,NA,NA
"207","TCGA-62-A46R-01",TRUE,TRUE,TRUE,TRUE
"208","TCGA-62-A46S-01",FALSE,FALSE,FALSE,TRUE
"209","TCGA-62-A46U-01",FALSE,FALSE,FALSE,TRUE
"210","TCGA-62-A46V-01",FALSE,FALSE,FALSE,NA
"211","TCGA-62-A46Y-01",NA,NA,NA,TRUE
"212","TCGA-62-A470-01",FALSE,FALSE,FALSE,FALSE
"213","TCGA-62-A471-01",FALSE,FALSE,FALSE,TRUE
"214","TCGA-62-A472-01",TRUE,TRUE,TRUE,TRUE
"215","TCGA-64-1677-01",FALSE,FALSE,FALSE,FALSE
"216","TCGA-64-1679-01",FALSE,FALSE,FALSE,TRUE
"217","TCGA-64-1681-01",FALSE,FALSE,FALSE,TRUE
"218","TCGA-64-5774-01",FALSE,FALSE,FALSE,NA
"219","TCGA-64-5775-01",FALSE,FALSE,FALSE,TRUE
"220","TCGA-64-5778-01",NA,NA,NA,TRUE
"221","TCGA-64-5779-01",FALSE,FALSE,FALSE,TRUE
"222","TCGA-64-5781-01",TRUE,TRUE,TRUE,NA
"223","TCGA-64-5815-01",NA,NA,NA,TRUE
"224","TCGA-67-3772-01",NA,NA,NA,TRUE
"225","TCGA-67-4679-01",FALSE,FALSE,FALSE,NA
"226","TCGA-67-6215-01",FALSE,FALSE,FALSE,NA
"227","TCGA-67-6216-01",NA,NA,NA,NA
"228","TCGA-67-6217-01",TRUE,TRUE,TRUE,TRUE
"229","TCGA-69-7760-01",FALSE,FALSE,FALSE,TRUE
"230","TCGA-69-7761-01",FALSE,FALSE,FALSE,TRUE
"231","TCGA-69-7763-01",FALSE,FALSE,FALSE,TRUE
"232","TCGA-69-7764-01",NA,FALSE,FALSE,TRUE
"233","TCGA-69-7765-01",NA,NA,NA,TRUE
"234","TCGA-69-7973-01",FALSE,FALSE,FALSE,FALSE
