"","SampleId","TP53_major","TP53_minor","TP53_LOH","TP53_C_t","TP53_M_t","TP53_LOH_t","kit"
"177","TCGA-25-1323-01",2,0,TRUE,2,0,TRUE,"S0293689"
"178","TCGA-30-1857-01",1,0,TRUE,1,0,TRUE,"S0293689"
"180","TCGA-29-1696-01",1,0,TRUE,1,0,TRUE,"S0293689"
"181","TCGA-09-0369-01",2,0,TRUE,2,0,TRUE,"S0293689"
"182","TCGA-24-1416-01",2,0,TRUE,2,0,TRUE,"S0293689"
"183","TCGA-24-0982-01",2,0,TRUE,2,0,TRUE,"S0293689"
"184","TCGA-13-0903-01",1,0,TRUE,1,0,TRUE,"S0293689"
"185","TCGA-61-1913-01",1,0,TRUE,1,0,TRUE,"S0293689"
"186","TCGA-29-1698-01",5,0,TRUE,3,0,TRUE,"S0293689"
"187","TCGA-13-1499-01",2,0,TRUE,2,0,TRUE,"S0293689"
"188","TCGA-13-0885-01",2,0,TRUE,2,0,TRUE,"S0293689"
"189","TCGA-23-1809-01",3,0,TRUE,3,0,TRUE,"S0293689"
"190","TCGA-25-1322-01",1,0,TRUE,1,0,TRUE,"S0293689"
"191","TCGA-10-0933-01",1,0,TRUE,1,0,TRUE,"S0293689"
"192","TCGA-29-1774-01",2,0,TRUE,4,0,TRUE,"S0293689"
"193","TCGA-24-1847-01",2,0,TRUE,2,0,TRUE,"S0293689"
"194","TCGA-13-1481-01",1,0,TRUE,2,0,TRUE,"S0293689"
"195","TCGA-61-1904-01",5,0,TRUE,4,0,TRUE,"S0293689"
"197","TCGA-13-1483-01",1,0,TRUE,1,0,TRUE,"S0293689"
"198","TCGA-13-1488-01",2,0,TRUE,3,0,TRUE,"S0293689"
"199","TCGA-24-1843-01",2,0,TRUE,2,0,TRUE,"S0293689"
"200","TCGA-10-0930-01",2,0,TRUE,2,0,TRUE,"S0293689"
"201","TCGA-24-1469-01",2,0,TRUE,2,0,TRUE,"S0293689"
"202","TCGA-29-1707-01",1,0,TRUE,2.02739686131531,0,TRUE,"S0293689"
"203","TCGA-09-0365-01",3,0,TRUE,3,0,TRUE,"S0293689"
"204","TCGA-29-1781-01",1,0,TRUE,1,0,TRUE,"S0293689"
"205","TCGA-13-0912-01",1,0,TRUE,1,0,TRUE,"S0293689"
"206","TCGA-61-1730-01",3,0,TRUE,3,0,TRUE,"S0293689"
"207","TCGA-61-1906-01",2,0,TRUE,2,0,TRUE,"S0293689"
"208","TCGA-57-1586-01",3,0,TRUE,3,0,TRUE,"S0293689"
"209","TCGA-29-1766-01",4,0,TRUE,4,0,TRUE,"S0293689"
"210","TCGA-29-1699-01",4,0,TRUE,4,0,TRUE,"S0293689"
"211","TCGA-61-1740-01",2,0,TRUE,5,0,TRUE,"S0293689"
"212","TCGA-20-1686-01",2,0,TRUE,2,0,TRUE,"S0293689"
"213","TCGA-61-1901-01",1,0,TRUE,1,0,TRUE,"S0293689"
"214","TCGA-61-1725-01",2,0,TRUE,2,0,TRUE,"S0293689"
"215","TCGA-24-1842-01",2,0,TRUE,2,0,TRUE,"S0293689"
"216","TCGA-61-1911-01",2,0,TRUE,2,0,TRUE,"S0293689"
"217","TCGA-29-1783-01",2,0,TRUE,2,0,TRUE,"S0293689"
"218","TCGA-13-0726-01",1,0,TRUE,1,0,TRUE,"S0293689"
"219","TCGA-29-1775-01",2,0,TRUE,2,0,TRUE,"S0293689"
"221","TCGA-29-1694-01",1,0,TRUE,1.27935732004717,0,TRUE,"S0293689"
"222","TCGA-24-1616-01",2,0,TRUE,2,0,TRUE,"S0293689"
"223","TCGA-29-1691-01",3,0,TRUE,3,0,TRUE,"S0293689"
"225","TCGA-61-1903-01",1,0,TRUE,1,0,TRUE,"S0293689"
"226","TCGA-24-1562-01",1,0,TRUE,1,0,TRUE,"S0293689"
"227","TCGA-29-1776-01",1,0,TRUE,1,0,TRUE,"S0293689"
"228","TCGA-20-1682-01",1,0,TRUE,1,0,TRUE,"S0293689"
"229","TCGA-29-1761-01",2,0,TRUE,2,0,TRUE,"S0293689"
"230","TCGA-24-1104-01",1,0,TRUE,1,0,TRUE,"S0293689"
"231","TCGA-13-0887-01",1,0,TRUE,2,0,TRUE,"S0293689"
"232","TCGA-29-1784-01",2,0,TRUE,2,0,TRUE,"S0293689"
"233","TCGA-13-0807-01",2,0,TRUE,2,0,TRUE,"S0293689"
