"fullname" "Purity_ABS" "Ploidy_ABS" "Purity_PureCN" "Ploidy_PureCN"
"TCGA-55-A491-01A-11D" 0.45 2.57 0.37 2.08712145673863
"TCGA-55-A492-01A-11D" 0.54 3.8 0.43 1.87312424093682
"TCGA-55-A493-01A-11D" 0.26 1.83 0.21 1.83864631481141
"TCGA-55-A494-01A-11D" 0.81 3.69 0.72 3.69229434926549
"TCGA-55-A4DF-01A-11D" 0.42 3.33 0.41 3.31488263081897
"TCGA-55-A4DG-01A-11D" 0.41 3.7 0.39 3.67040690486964
"TCGA-55-A57B-01A-12D" 0.21 1.36 0.23 2.39975503891609
"TCGA-62-8394-01A-11D" 0.53 3.1 0.55 2.64163349655656
"TCGA-62-8395-01A-11D" 0.65 1.9 0.63 1.90895987859364
"TCGA-62-8397-01A-11D" 0.69 3.43 0.65 3.41475905237278
"TCGA-62-8398-01A-11D" 0.5 3.2 0.45 4.75376828068125
"TCGA-62-8399-01A-21D" 0.5 2.44 0.55 2.3912566448709
"TCGA-62-8402-01A-11D" 0.5 4.23 0.54 4.4931371099854
"TCGA-62-A46O-01A-11D" 0.82 2.93 0.72 2.93642952976475
"TCGA-62-A46P-01A-11D" 0.7 2.05 0.62 2.06626787316626
"TCGA-62-A46R-01A-11D" 0.42 2.88 0.41 2.93330451080402
"TCGA-62-A46S-01A-11D" 0.45 3.85 0.55 2.26122454739488
"TCGA-62-A46U-01A-11D" 0.25 3.73 0.31 1.98633903577616
"TCGA-62-A46V-01A-11D" 0.52 1.92 0.47 1.89217887543431
"TCGA-62-A46Y-01A-11D" 0.48 2.01 0.25 1.75498850002273
"TCGA-62-A470-01A-11D" 0.59 2.99 0.57 3.01241551483302
"TCGA-62-A471-01A-12D" 0.46 3.11 0.42 3.12533569599577
"TCGA-62-A472-01A-11D" 0.4 3.57 0.38 1.78088372729432
"TCGA-64-1677-01A-01W" 0.32 2.81 0.29 2.58756769601974
"TCGA-64-1679-01A-21D" 0.26 3.34 0.32 1.81479647294481
"TCGA-64-1681-01A-11D" 0.31 5.63 0.39 3.15838226462582
"TCGA-64-5774-01A-01D" 0.76 2.86 0.7 2.86833772870513
"TCGA-64-5775-01A-01D" 0.71 3.39 0.68 3.39561658648704
"TCGA-64-5778-01A-01D" 0.59 1.76 0.52 1.79105182656255
"TCGA-64-5779-01A-01D" 0.44 2.99 0.44 3.04834803827811
"TCGA-64-5781-01A-01D" 0.38 1.91 0.36 1.88386803987144
"TCGA-64-5815-01A-01D" 0.35 1.99 0.34 1.98310811514659
"TCGA-67-3772-01A-01W" 0.45 1.84 0.41 2.16539733733432
